firm_id,w,c,L,S,Y,A,xi,x,y,comp,logw,logc,rank
1,0.6125283215285586,0.11731866045847461,0.04692744088096566,0.23463730630483032,0.11497755036046935,1.0957237720140651,-0.036972472709052115,-0.6284808112766926,3.3267819605783746,1,-0.4901600984019555,-2.1428614527826446,7
2,0.40919201180667725,0.07928704358985238,0.031714820968106704,0.15857407463534703,0.05190980737859843,0.7319850184181449,-0.13618590888078827,2.0026510200224914,-1.8763335861795893,1,-0.8935707665842709,-2.5346805484334256,3
3,0.7001646442767958,0.15497991202643266,0.061991922605998125,0.3099598084559676,0.17361821575964406,1.2524922404922665,0.24450826773480605,3.3225980139520104,3.047643574968019,1,-0.35643976548564454,-1.8644597702911407,17
4,0.7412586140857734,0.16587110840802421,0.06634839817412479,0.3317422010909386,0.19672529351002804,1.3260033457060183,-0.03090589641376043,-1.1252162096982554,-2.116718960697559,1,-0.29940570771138686,-1.7965442475965434,18
5,0.3113321747697204,0.058251214525461587,0.023300896298254645,0.11650241829625897,0.029017275877712682,0.5569328757744016,-0.08566556443262145,1.824955039749755,-3.602475163906902,1,-1.1668948507247294,-2.8429903365311735,0
6,0.378238770629104,0.0656434991186809,0.026257414315410888,0.13128698678691947,0.039726289815561484,0.6766143241639104,-0.07042671009764592,-3.0009179752489166,-4.926377302489945,1,-0.9722296144500535,-2.7235167064619654,1
7,0.5808730361283986,0.1258730298491798,0.050349184179007446,0.25174604478117507,0.11698593796667339,1.0390970563104738,0.10646183711066975,2.869243775021384,1.6485085659203214,1,-0.5432230724677565,-2.0724815797109453,10
8,0.5084196281169387,0.1037825383569142,0.041513005532372846,0.20756506269414898,0.08442411025760749,0.909488634341362,0.07308881287281567,2.0516537862633513,2.807290310219679,1,-0.6764481327863285,-2.2654575463234083,5
9,0.5562065843212479,0.14275905012770862,0.05710358413971183,0.285518084881015,0.1270455623392283,0.9949723339840308,0.08254652231919768,-0.41084224461660046,0.6874119595289374,1,-0.586615499206229,-1.9465970340128214,14
10,0.43279606731053877,0.09374338000506525,0.03749735083295201,0.1874867465273863,0.0649148261443154,0.7742091840534693,0.08616420060157655,-3.6020300187234255,-3.8546992646402654,1,-0.8374886381119003,-2.3671942299041557,4
11,0.7277805555315132,0.25832592383471303,0.10333029714833997,0.5166518330115867,0.3008071346459885,1.3018930433649323,0.42832952017409226,1.6840296179047165,-0.28903793856867477,1,-0.3177557109354847,-1.3535332206383772,19
12,0.705931122044821,0.13257455599921555,0.05302979267487547,0.26514909687787463,0.14974152935552346,1.2628077067997137,-0.08128300327692312,0.6523610648118883,2.649988574160256,1,-0.34823760709129326,-2.0206101050181773,12
13,0.5702011522861771,0.11656600255003527,0.04662638425124554,0.23313199051671868,0.10634567578426107,1.0200067136337232,-0.10244854581430747,1.347183200005908,0.5357940065799582,1,-0.5617660816599794,-2.1492976209088255,6
14,0.7839556936665741,0.15414340971728852,0.061657323285793646,0.30828680385020285,0.1933464452683298,1.4023822001026114,-0.16275454564957556,0.5920716074541355,-1.960499019373878,1,-0.24340277340904934,-1.869871877965519,16
15,0.6431853458956498,0.14845019422461586,0.05938003987889875,0.29690037296049454,0.1527694912363037,1.1505646279108992,0.12319588451509914,-4.691821654320606,-0.6328261076763764,1,-0.4413223444993548,-1.907505769422831,15
16,0.4319856314768489,0.12445927393825404,0.049783684041707695,0.24891853300612377,0.0860233477257426,0.772759241453602,0.22579445854417834,-2.854153271804708,-0.9147135627536385,1,-0.8393629517614257,-2.0837767335536137,9
17,0.6244088082544725,0.11876462787018725,0.047505827259070633,0.23752924107249157,0.1186522320376026,1.1169762250618194,-0.022789491530975016,3.534030732681661,-2.6606051413465925,1,-0.47094998369072355,-2.130611661588939,8
18,0.4192699074171902,0.07222553223232754,0.028890220677356346,0.14445105245881212,0.04845120226955847,0.7500129692644442,-0.1680312953925056,-4.41697258310934,-2.1861610797800344,1,-0.8692403960019692,-2.627961663569727,2
19,0.7275736260015319,0.14070545660971914,0.0562821493943002,0.28141089789107265,0.16379763571819358,1.3015229650916262,-0.1648962431382479,-2.064062422333164,1.6191651472689506,1,-0.3180400809314645,-1.9610865337394547,13
20,0.5507066748407978,0.1262757294154472,0.05051026346150692,0.2525514439006363,0.11126536079120315,0.9851338356380108,0.13011855756494023,0.5703215234127834,2.838982091064135,1,-0.596552962139257,-2.06928743424045,11
